pet_name,status,location,age,breed,color,gender,fixed,pet_link
Ackee,Available,At Shelter,Baby,Rat,White,Male,No,https://www.awla.org/pet/ackee/
Fifi,Available,At Shelter,Adult,Hamster,Grey,Female,No,https://www.awla.org/pet/fifi/
Fabio,Available,In Foster,Adult,Guinea Pig,Black,Male,No,https://www.awla.org/pet/fabio/
Evelyn,Available,In Foster,Baby,Domestic Shorthair,Brown,Female,No,https://www.awla.org/pet/evelyn/
Erdman,Available,In Foster,Adult,Domestic Shorthair,Grey,Female,Yes,https://www.awla.org/pet/erdman/
Earl,Available,In Foster,Baby,Domestic Shorthair,Grey,Male,No,https://www.awla.org/pet/earl/
Dior,Available,At Shelter,Young,"Mixed Breed, Medium (up to 44 lbs fully grown)",Brown,Female,Yes,https://www.awla.org/pet/dior/
Delores,Available,At Shelter,Adult,Domestic Shorthair,Brown,Female,Yes,https://www.awla.org/pet/delores/
Della,Available,At Shelter,Young,"Mixed Breed, Medium (up to 44 lbs fully grown)",Tan,Female,Yes,https://www.awla.org/pet/della-2/
Della,Available,At Shelter,Adult,Pixie-Bob,Black,Female,Yes,https://www.awla.org/pet/della/
Dazy,Available,At Shelter,Young,"Mixed Breed, Medium (up to 44 lbs fully grown)",Tan,Female,Yes,https://www.awla.org/pet/dazy/
Daria,Available,At Shelter,Adult,Domestic Shorthair,Black,Female,Yes,https://www.awla.org/pet/daria/
Daisy,Available,In Foster,Adult,Domestic Shorthair,Grey,Female,Yes,https://www.awla.org/pet/daisy/
Cleo,Available,In Foster,Adult,Domestic Shorthair,Brown,Female,Yes,https://www.awla.org/pet/cleo/
Chrissie,Available,In Foster,Young,Domestic Shorthair,Black,Female,Yes,https://www.awla.org/pet/chrissie/
Mowgli,Available,In Foster,Adult,Domestic Shorthair,Black,Male,Yes,https://www.awla.org/pet/mowgli/
Zuri,Available,At Shelter,Adult,Domestic Shorthair,White,Male,Yes,https://www.awla.org/pet/zuri/
Walter,Available,At Shelter,Senior,Cockatiel,Yellow,Male,No,https://www.awla.org/pet/walter/
Van Gogh,Available,At Shelter,Young,Guinea Pig,Brown,Male,No,https://www.awla.org/pet/van-gogh/
Tugboat,Available,In Foster,Baby,Domestic Medium Hair,Brown,Female,No,https://www.awla.org/pet/tugboat/
Tom,Available,In Foster,Adult,Domestic Shorthair,Brown,Male,Yes,https://www.awla.org/pet/tom/
Stormy,Available,In Foster,Baby,Domestic Longhair,Grey,Female,No,https://www.awla.org/pet/stormy/
Stella The Great,Available,At Shelter,Adult,Domestic Shorthair,White,Female,Yes,https://www.awla.org/pet/stella-the-great/
Stella,Available,In Foster,Senior,Domestic Shorthair,Black,Female,Yes,https://www.awla.org/pet/stella/
Starapple,Available,At Shelter,Baby,Rat,White,Male,No,https://www.awla.org/pet/starapple/
Sage,Available,In Foster,Adult,Domestic Shorthair,Grey,Female,Yes,https://www.awla.org/pet/sage/
Roxy,Available,At Shelter,Adult,"Mixed Breed, Large (over 44 lbs fully grown)",Tan,Female,Yes,https://www.awla.org/pet/roxy/
Remi,Available,In Foster,Adult,Domestic Shorthair,Black,Female,Yes,https://www.awla.org/pet/remi/
